epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2123.05,0.80265,1.06799,0.82506,0.99583,0.99063,0.99471,0.87791,0.45795,0.60265,0.81451,0.00333286,0.00333286,0.00333286
2,4195.16,0.72261,0.75384,0.80605,0.99703,0.99232,0.99484,0.90113,0.40623,0.55448,0.81111,0.0066002,0.0066002,0.0066002
3,6256.38,0.65345,0.70216,0.79831,0.99758,0.99195,0.99489,0.91421,0.36198,0.49561,0.8035,0.00980153,0.00980153,0.00980153
4,8308.28,0.57148,0.62881,0.78996,0.99853,0.99193,0.99481,0.92525,0.32889,0.43926,0.79848,0.009703,0.009703,0.009703
5,10361.2,0.50089,0.56123,0.78329,0.99851,0.9917,0.99493,0.93227,0.30833,0.40204,0.79503,0.009604,0.009604,0.009604
6,12415.1,0.4668,0.52456,0.78003,0.99881,0.99091,0.9947,0.93494,0.29789,0.37846,0.79245,0.009505,0.009505,0.009505
7,14467.6,0.43982,0.49682,0.77727,0.9993,0.99121,0.99473,0.9394,0.28512,0.35797,0.79107,0.009406,0.009406,0.009406
8,16520.8,0.42471,0.47832,0.77567,0.99943,0.99142,0.99467,0.94254,0.27469,0.34285,0.7897,0.009307,0.009307,0.009307
9,18574,0.41137,0.46444,0.77469,0.99938,0.99115,0.99459,0.94396,0.2693,0.33243,0.78883,0.009208,0.009208,0.009208
10,20626.9,0.40024,0.45178,0.77328,0.99958,0.99096,0.99449,0.94458,0.26698,0.32464,0.78818,0.009109,0.009109,0.009109
11,22679.7,0.39255,0.44196,0.77299,0.99951,0.99067,0.99437,0.94584,0.26224,0.31756,0.78777,0.00901,0.00901,0.00901
12,24730.9,0.38354,0.43394,0.77204,0.99965,0.99053,0.9943,0.94637,0.26081,0.31344,0.78755,0.008911,0.008911,0.008911
13,26782.6,0.37669,0.42607,0.77184,0.99965,0.99046,0.99428,0.9472,0.25803,0.30857,0.78715,0.008812,0.008812,0.008812
14,28835.3,0.37278,0.42069,0.7711,0.99964,0.99044,0.99424,0.94738,0.2573,0.30537,0.78692,0.008713,0.008713,0.008713
15,30887.3,0.36789,0.41506,0.77117,0.99971,0.99047,0.99426,0.948,0.25509,0.30202,0.78666,0.008614,0.008614,0.008614
16,32940.2,0.36236,0.40864,0.77019,0.9997,0.99046,0.99423,0.94845,0.25355,0.29927,0.78651,0.008515,0.008515,0.008515
17,34992.8,0.35894,0.4058,0.77,0.99966,0.9909,0.99422,0.94894,0.25245,0.29735,0.78635,0.008416,0.008416,0.008416
18,37044.7,0.35346,0.39824,0.76965,0.99944,0.9917,0.9942,0.94918,0.25183,0.29582,0.78621,0.008317,0.008317,0.008317
19,39097,0.35049,0.39485,0.7692,0.99869,0.99329,0.9942,0.94929,0.25166,0.29449,0.78605,0.008218,0.008218,0.008218
20,41149.4,0.34805,0.39355,0.76934,0.99483,0.99523,0.99419,0.94963,0.25058,0.29328,0.78599,0.008119,0.008119,0.008119
21,43202,0.34432,0.38962,0.76939,0.99511,0.9952,0.99418,0.95011,0.2488,0.29123,0.78595,0.00802,0.00802,0.00802
22,45255.2,0.34211,0.38638,0.76903,0.99537,0.99515,0.99416,0.95041,0.24812,0.28987,0.78584,0.007921,0.007921,0.007921
23,47308.2,0.33826,0.38067,0.76834,0.99531,0.99512,0.99415,0.95074,0.24701,0.28838,0.78571,0.007822,0.007822,0.007822
24,49363,0.33604,0.38011,0.76868,0.99532,0.99508,0.99414,0.95093,0.24698,0.28758,0.7856,0.007723,0.007723,0.007723
25,51417.2,0.33414,0.37587,0.76796,0.99541,0.99504,0.99413,0.95116,0.24648,0.28624,0.78548,0.007624,0.007624,0.007624
26,53470.6,0.33127,0.37418,0.76806,0.99533,0.99498,0.99411,0.951,0.24751,0.28596,0.78541,0.007525,0.007525,0.007525
27,55525.5,0.32878,0.37118,0.76815,0.99544,0.99495,0.9941,0.95152,0.24645,0.28484,0.78536,0.007426,0.007426,0.007426
28,57585.4,0.32661,0.36859,0.76781,0.99549,0.9949,0.99408,0.95192,0.24511,0.28376,0.78531,0.007327,0.007327,0.007327
29,59644.2,0.32412,0.36745,0.76797,0.99569,0.99488,0.99408,0.95227,0.24353,0.28168,0.78519,0.007228,0.007228,0.007228
30,61698.6,0.32213,0.36359,0.76759,0.99573,0.99485,0.99406,0.95266,0.24201,0.27961,0.78502,0.007129,0.007129,0.007129
31,63755.6,0.32022,0.36146,0.7673,0.9959,0.99483,0.99406,0.95295,0.2409,0.27744,0.78488,0.00703,0.00703,0.00703
32,65810.9,0.3187,0.36133,0.76765,0.99609,0.99481,0.99405,0.9535,0.23818,0.27485,0.78478,0.006931,0.006931,0.006931
33,67865.4,0.31562,0.35634,0.76735,0.99617,0.99479,0.99405,0.9539,0.23636,0.27257,0.78469,0.006832,0.006832,0.006832
34,69918.8,0.31269,0.35388,0.76716,0.99634,0.99476,0.99404,0.95405,0.23594,0.27151,0.78457,0.006733,0.006733,0.006733
35,71971.7,0.31176,0.35264,0.76706,0.99642,0.99472,0.99403,0.95411,0.23672,0.27191,0.7845,0.006634,0.006634,0.006634
36,74025.2,0.30847,0.34871,0.76707,0.99648,0.99471,0.99402,0.95442,0.23564,0.27045,0.78439,0.006535,0.006535,0.006535
37,76089.7,0.30794,0.34793,0.76698,0.99659,0.99467,0.99401,0.95481,0.23414,0.26813,0.78427,0.006436,0.006436,0.006436
38,78155.4,0.30507,0.3448,0.76698,0.99671,0.99463,0.99401,0.95527,0.23214,0.2655,0.78419,0.006337,0.006337,0.006337
39,80218,0.30397,0.34402,0.7665,0.99678,0.99463,0.99401,0.9559,0.2298,0.26396,0.78411,0.006238,0.006238,0.006238
40,82280.3,0.30278,0.34155,0.76606,0.9969,0.99459,0.99399,0.95592,0.22967,0.26285,0.78398,0.006139,0.006139,0.006139
41,84344.5,0.29881,0.33809,0.76622,0.997,0.99454,0.99398,0.95612,0.22878,0.26102,0.78383,0.00604,0.00604,0.00604
42,86407,0.29776,0.33695,0.76644,0.99699,0.99448,0.99397,0.95623,0.22899,0.26054,0.78373,0.005941,0.005941,0.005941
43,88480.7,0.29706,0.33732,0.76653,0.99706,0.99443,0.99394,0.95671,0.22681,0.25892,0.78371,0.005842,0.005842,0.005842
44,90543.1,0.2958,0.33461,0.76629,0.99716,0.99437,0.99391,0.95719,0.22382,0.25568,0.78361,0.005743,0.005743,0.005743
45,92609.1,0.29319,0.3321,0.76617,0.99734,0.99431,0.99388,0.9576,0.22196,0.2539,0.78349,0.005644,0.005644,0.005644
46,94675.6,0.2921,0.32997,0.76596,0.99755,0.99426,0.99386,0.95767,0.22122,0.25192,0.78336,0.005545,0.005545,0.005545
47,96747.8,0.29162,0.32906,0.76544,0.99774,0.99424,0.99386,0.95783,0.22033,0.25035,0.78321,0.005446,0.005446,0.005446
48,98831.7,0.28974,0.32697,0.76598,0.99792,0.9942,0.99383,0.95796,0.21955,0.24862,0.7831,0.005347,0.005347,0.005347
49,100944,0.28565,0.3232,0.76574,0.998,0.99421,0.99383,0.95804,0.2194,0.24812,0.78303,0.005248,0.005248,0.005248
50,103065,0.28525,0.32236,0.7657,0.99808,0.99417,0.99381,0.95819,0.21887,0.24693,0.78294,0.005149,0.005149,0.005149
51,105122,0.28365,0.32104,0.76566,0.99816,0.99412,0.99377,0.95829,0.21869,0.24608,0.78287,0.00505,0.00505,0.00505
52,107176,0.28173,0.31878,0.76575,0.99822,0.99406,0.99374,0.95881,0.21588,0.24306,0.78283,0.004951,0.004951,0.004951
53,109230,0.27975,0.31626,0.76559,0.99827,0.99401,0.9937,0.95928,0.21351,0.2414,0.78279,0.004852,0.004852,0.004852
54,111282,0.27794,0.31311,0.76539,0.99835,0.99396,0.99367,0.95952,0.21233,0.23972,0.78269,0.004753,0.004753,0.004753
55,113335,0.27616,0.31166,0.7651,0.99836,0.99391,0.99364,0.95968,0.21128,0.23763,0.78257,0.004654,0.004654,0.004654
56,115387,0.27445,0.30914,0.76508,0.99832,0.99384,0.9936,0.95981,0.21075,0.23643,0.78247,0.004555,0.004555,0.004555
57,117440,0.2738,0.30774,0.76524,0.99835,0.99381,0.99358,0.95998,0.20983,0.23465,0.78237,0.004456,0.004456,0.004456
58,119494,0.27148,0.30622,0.76493,0.99836,0.99374,0.99353,0.96005,0.20956,0.23363,0.78227,0.004357,0.004357,0.004357
59,121547,0.26949,0.30345,0.76482,0.9984,0.99367,0.9935,0.96006,0.20915,0.23242,0.78217,0.004258,0.004258,0.004258
60,123600,0.26715,0.30072,0.76508,0.99841,0.99361,0.99346,0.96018,0.20849,0.23091,0.78209,0.004159,0.004159,0.004159
61,125655,0.2671,0.30056,0.76496,0.99841,0.99355,0.99343,0.96057,0.20613,0.22883,0.78205,0.00406,0.00406,0.00406
62,127710,0.26617,0.30043,0.76474,0.99844,0.99352,0.99342,0.96099,0.20379,0.2268,0.78197,0.003961,0.003961,0.003961
63,129767,0.26464,0.29736,0.76476,0.99843,0.99347,0.9934,0.96114,0.20283,0.22522,0.78188,0.003862,0.003862,0.003862
