epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2913.55,0.78636,0.55716,0.82006,0.99332,0.98673,0.99455,0.87051,0.46119,0.31368,0.81915,0.00333286,0.00333286,0.00333286
2,5861.45,0.70912,0.37271,0.8036,0.99525,0.98858,0.99467,0.89589,0.40283,0.28515,0.81143,0.0065342,0.0065342,0.0065342
3,8365.11,0.64469,0.34527,0.79735,0.99635,0.98829,0.99473,0.91027,0.36618,0.25637,0.80508,0.00960354,0.00960354,0.00960354
4,10839.4,0.55899,0.30762,0.78928,0.99811,0.99078,0.99469,0.927,0.32018,0.21528,0.79772,0.009406,0.009406,0.009406
5,13315,0.49069,0.27541,0.78263,0.99797,0.98988,0.99457,0.93258,0.3025,0.19661,0.79384,0.009208,0.009208,0.009208
6,15795.7,0.45572,0.25612,0.77937,0.99785,0.98968,0.99468,0.93674,0.28873,0.1839,0.79163,0.00901,0.00901,0.00901
7,18271.7,0.42888,0.24278,0.7766,0.99876,0.99075,0.99457,0.94012,0.27875,0.17488,0.7902,0.008812,0.008812,0.008812
8,20747.3,0.41056,0.23243,0.77487,0.99855,0.99013,0.99453,0.94303,0.2696,0.16736,0.78936,0.008614,0.008614,0.008614
9,23222.3,0.39692,0.2246,0.77362,0.99831,0.98979,0.99449,0.94372,0.26716,0.16251,0.78842,0.008416,0.008416,0.008416
10,25698,0.38454,0.2176,0.77225,0.9988,0.99016,0.99441,0.9451,0.26325,0.15826,0.78785,0.008218,0.008218,0.008218
11,28172.6,0.37487,0.21145,0.77175,0.99897,0.99007,0.9943,0.9464,0.25833,0.15379,0.78722,0.00802,0.00802,0.00802
12,30647.9,0.36682,0.20708,0.77086,0.9992,0.99023,0.99433,0.94761,0.25427,0.15033,0.7867,0.007822,0.007822,0.007822
13,33130.2,0.35814,0.20296,0.77063,0.99921,0.99033,0.99429,0.94846,0.25157,0.14811,0.78643,0.007624,0.007624,0.007624
14,35611.3,0.35197,0.19839,0.76961,0.99927,0.99035,0.99426,0.94912,0.24927,0.14595,0.7862,0.007426,0.007426,0.007426
15,38090.3,0.34544,0.19545,0.76971,0.99935,0.99039,0.99426,0.94987,0.2472,0.14411,0.78602,0.007228,0.007228,0.007228
16,40567,0.33986,0.19187,0.76863,0.99935,0.9903,0.99422,0.95047,0.245,0.14223,0.78583,0.00703,0.00703,0.00703
17,43045,0.33492,0.18869,0.76847,0.99934,0.99027,0.9942,0.95075,0.24392,0.14105,0.78563,0.006832,0.006832,0.006832
18,45525.9,0.32937,0.18575,0.76812,0.99938,0.99022,0.99419,0.9511,0.2426,0.13995,0.78544,0.006634,0.006634,0.006634
19,48011.2,0.32544,0.18271,0.7676,0.9994,0.99024,0.99419,0.95156,0.24101,0.13879,0.78524,0.006436,0.006436,0.006436
20,50531.1,0.32046,0.18063,0.76746,0.99946,0.99021,0.99419,0.95195,0.23951,0.13749,0.78508,0.006238,0.006238,0.006238
