epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2726.05,0.24311,0.26013,0.76218,0.99893,0.98939,0.99367,0.95699,0.21734,0.23699,0.78142,0.00333286,0.00333286,0.00333286
1,3465.66,0.24311,0.26013,0.76218,0.99893,0.98939,0.99367,0.95699,0.21734,0.23699,0.78142,0.00333286,0.00333286,0.00333286
2,5957.61,0.28285,0.31708,0.76513,0.9997,0.9899,0.9939,0.95628,0.22462,0.25681,0.78429,0.0065342,0.0065342,0.0065342
3,8433.7,0.3303,0.37494,0.76854,0.99936,0.99019,0.9943,0.95237,0.2365,0.28119,0.78595,0.00960354,0.00960354,0.00960354
4,10908.6,0.35895,0.4073,0.77021,0.99955,0.99005,0.9941,0.95133,0.23922,0.28691,0.78614,0.009406,0.009406,0.009406
5,13381.9,0.35096,0.3979,0.76955,0.99971,0.99066,0.99422,0.95326,0.23466,0.27648,0.78541,0.009208,0.009208,0.009208
6,15858.6,0.34567,0.39117,0.76923,0.9993,0.99033,0.99432,0.95423,0.22875,0.26797,0.78477,0.00901,0.00901,0.00901
7,18333.3,0.33943,0.38475,0.76863,0.99966,0.99037,0.99423,0.95534,0.22472,0.26302,0.78483,0.008812,0.008812,0.008812
8,20807.3,0.3354,0.37932,0.76812,0.99972,0.99017,0.99408,0.95557,0.2241,0.25942,0.7845,0.008614,0.008614,0.008614
9,23279.9,0.33183,0.37503,0.76814,0.99975,0.98991,0.99398,0.95564,0.22375,0.25562,0.78426,0.008416,0.008416,0.008416
10,25751.4,0.3271,0.37065,0.76757,0.9998,0.98995,0.994,0.95672,0.21759,0.24919,0.78404,0.008218,0.008218,0.008218
11,28222.5,0.32231,0.36575,0.76769,0.99978,0.98978,0.99383,0.95734,0.21492,0.24486,0.78375,0.00802,0.00802,0.00802
12,30696.5,0.31827,0.36099,0.76707,0.99979,0.98987,0.99388,0.95764,0.21399,0.24268,0.78351,0.007822,0.007822,0.007822
13,33166.9,0.31435,0.35602,0.76751,0.99976,0.98981,0.99378,0.95793,0.21295,0.24083,0.78348,0.007624,0.007624,0.007624
14,35635.9,0.31343,0.35512,0.76693,0.99873,0.993,0.99375,0.95825,0.21126,0.23826,0.78335,0.007426,0.007426,0.007426
15,38165.8,0.30888,0.35018,0.76703,0.99599,0.99405,0.99372,0.95843,0.21011,0.23626,0.78326,0.007228,0.007228,0.007228
16,41023.2,0.3046,0.34556,0.76633,0.99566,0.99395,0.99365,0.95854,0.20917,0.2348,0.78321,0.00703,0.00703,0.00703
17,43837.3,0.30446,0.34563,0.76651,0.99579,0.99392,0.99364,0.95871,0.20843,0.23373,0.78313,0.006832,0.006832,0.006832
18,46354.6,0.29969,0.34049,0.76641,0.99563,0.99394,0.99364,0.9589,0.20784,0.23276,0.78306,0.006634,0.006634,0.006634
19,48825.3,0.29263,0.33425,0.76687,0.99562,0.99393,0.99364,0.95902,0.20745,0.23239,0.78306,0.006436,0.006436,0.006436
20,51295.7,0.28955,0.32914,0.76677,0.99606,0.9939,0.99362,0.95919,0.20715,0.23206,0.783,0.006238,0.006238,0.006238
21,53765.3,0.28725,0.32688,0.76692,0.99645,0.99388,0.99361,0.95928,0.20718,0.23223,0.78298,0.00604,0.00604,0.00604
