epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1215.49,0.8785,0.64215,0.83591,0.98666,0.97931,0.99137,0.84552,0.53837,0.35801,0.8244,0.00333267,0.00333267,0.00333267
2,2402.78,0.79657,0.41608,0.81377,0.9911,0.9836,0.99386,0.87321,0.48077,0.32873,0.81913,0.00653401,0.00653401,0.00653401
3,3581,0.73634,0.38529,0.80598,0.99448,0.9875,0.99415,0.89233,0.4215,0.29524,0.80636,0.00960336,0.00960336,0.00960336
4,4756.59,0.63234,0.34081,0.79616,0.99698,0.98722,0.99386,0.9081,0.38217,0.25477,0.79894,0.009406,0.009406,0.009406
5,5932.05,0.55536,0.30428,0.78806,0.99815,0.98769,0.99367,0.91627,0.35542,0.2299,0.79561,0.009208,0.009208,0.009208
6,7107.75,0.51151,0.28264,0.78341,0.99815,0.98792,0.9936,0.92142,0.33571,0.21329,0.79215,0.00901,0.00901,0.00901
7,8283.42,0.48181,0.26822,0.78042,0.99827,0.98838,0.99379,0.92777,0.31786,0.2027,0.79033,0.008812,0.008812,0.008812
8,9458.77,0.46059,0.25579,0.77793,0.99883,0.98813,0.99318,0.9319,0.30377,0.19246,0.7895,0.008614,0.008614,0.008614
9,10633.8,0.44116,0.24689,0.77663,0.99892,0.98782,0.99331,0.93472,0.2964,0.1852,0.78838,0.008416,0.008416,0.008416
10,11808.6,0.42674,0.23925,0.77511,0.99861,0.98738,0.99347,0.9366,0.28944,0.18025,0.78723,0.008218,0.008218,0.008218
11,12983.9,0.41562,0.23303,0.77406,0.99898,0.98745,0.99334,0.9394,0.27978,0.17344,0.78663,0.00802,0.00802,0.00802
12,14159,0.40414,0.22711,0.77349,0.99916,0.9876,0.99342,0.94119,0.27487,0.16882,0.78587,0.007822,0.007822,0.007822
13,15333.9,0.39493,0.22156,0.77217,0.99926,0.98749,0.99328,0.9427,0.26973,0.16477,0.78556,0.007624,0.007624,0.007624
14,16508.9,0.38673,0.21747,0.77175,0.99935,0.9874,0.99327,0.94382,0.26579,0.16149,0.78518,0.007426,0.007426,0.007426
15,17683.6,0.37839,0.21274,0.77107,0.9995,0.98722,0.99316,0.94502,0.26154,0.15809,0.78467,0.007228,0.007228,0.007228
16,18859.3,0.37148,0.20915,0.77047,0.99947,0.98718,0.99318,0.94581,0.25728,0.15544,0.78427,0.00703,0.00703,0.00703
17,20034.5,0.36523,0.2051,0.76996,0.99942,0.98723,0.99316,0.94706,0.25399,0.15245,0.78406,0.006832,0.006832,0.006832
18,21209.9,0.35768,0.20164,0.76971,0.99944,0.98711,0.99309,0.94818,0.25083,0.15007,0.78389,0.006634,0.006634,0.006634
19,22385.8,0.3522,0.19833,0.76905,0.99946,0.98697,0.99308,0.9491,0.24812,0.1479,0.78355,0.006436,0.006436,0.006436
20,23571.7,0.3462,0.19516,0.76868,0.99952,0.98696,0.99308,0.94976,0.24561,0.14599,0.78327,0.006238,0.006238,0.006238
21,24748,0.34065,0.19181,0.76813,0.99952,0.9868,0.99304,0.95037,0.24348,0.14456,0.78313,0.00604,0.00604,0.00604
22,25924.4,0.33575,0.18927,0.76744,0.99952,0.98676,0.99303,0.95108,0.24056,0.14275,0.78297,0.005842,0.005842,0.005842
23,27105,0.33117,0.18596,0.76741,0.99953,0.9867,0.993,0.95148,0.23917,0.14151,0.78279,0.005644,0.005644,0.005644
24,28292.7,0.32649,0.18373,0.7674,0.99953,0.98666,0.99298,0.95171,0.23788,0.14033,0.78263,0.005446,0.005446,0.005446
25,29473,0.32214,0.18091,0.76684,0.99956,0.98661,0.99296,0.95207,0.23672,0.13931,0.78251,0.005248,0.005248,0.005248
26,30649.4,0.31674,0.17828,0.76653,0.99958,0.98659,0.99295,0.95243,0.23533,0.13825,0.78237,0.00505,0.00505,0.00505
27,31840.8,0.31265,0.17555,0.76609,0.9996,0.98657,0.99294,0.95253,0.23489,0.13752,0.78225,0.004852,0.004852,0.004852
28,33021.8,0.30831,0.17278,0.76585,0.99958,0.98656,0.99292,0.95291,0.23317,0.13627,0.78212,0.004654,0.004654,0.004654
29,34198.7,0.30344,0.17031,0.76566,0.99959,0.98649,0.99289,0.95317,0.23207,0.13543,0.782,0.004456,0.004456,0.004456
30,35376.1,0.30057,0.16839,0.7656,0.99959,0.98645,0.99287,0.95325,0.23181,0.13489,0.78187,0.004258,0.004258,0.004258
