epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.03464,1.91085,3.64167,1.0708,0.06598,0.51557,0.24211,0.15052,1.22171,3.34616,0.87694,0.000272113,0.000272113,0.000272113
2,17.1414,1.1915,1.59433,0.88913,0.62218,0.47174,0.56517,0.39657,1.0097,1.69543,0.8831,0.000538894,0.000538894,0.000538894
3,25.0855,1.087,1.04183,0.86653,0.78368,0.69351,0.78789,0.55553,1.00951,1.29521,0.86895,0.00079468,0.00079468,0.00079468
4,33.0329,1.12926,0.90459,0.85975,0.87117,0.78242,0.86683,0.62527,0.89027,0.90115,0.85419,0.00078352,0.00078352,0.00078352
5,41.0062,1.0162,0.80746,0.85892,0.87369,0.84473,0.91135,0.68035,0.80756,0.69138,0.84431,0.000767026,0.000767026,0.000767026
6,49.0102,0.97484,0.73333,0.84533,0.9144,0.8946,0.94109,0.71934,0.80145,0.63374,0.84834,0.000750533,0.000750533,0.000750533
7,56.8647,0.93017,0.69485,0.84274,0.90766,0.86107,0.93704,0.72101,0.77418,0.64575,0.83852,0.00073404,0.00073404,0.00073404
8,64.7837,0.86761,0.64241,0.83238,0.94698,0.92241,0.95999,0.74783,0.76027,0.57667,0.83302,0.000717546,0.000717546,0.000717546
9,72.7448,0.89142,0.62848,0.83199,0.95252,0.90249,0.96284,0.75538,0.7656,0.56528,0.83402,0.000701053,0.000701053,0.000701053
10,80.6778,0.84106,0.59326,0.83024,0.93724,0.91417,0.96568,0.75021,0.78101,0.5959,0.82884,0.000684559,0.000684559,0.000684559
11,88.5515,0.82865,0.56576,0.82505,0.92645,0.93921,0.97167,0.72622,0.89469,0.57807,0.83359,0.000668066,0.000668066,0.000668066
12,96.5431,0.84878,0.58135,0.8277,0.96745,0.96235,0.98258,0.77583,0.72517,0.48815,0.82402,0.000651573,0.000651573,0.000651573
13,104.445,0.84476,0.5647,0.82425,0.96697,0.95176,0.97922,0.73233,0.87474,0.52491,0.83199,0.000635079,0.000635079,0.000635079
14,112.355,0.82133,0.55164,0.82245,0.96721,0.96507,0.98267,0.7526,0.81162,0.49954,0.82294,0.000618586,0.000618586,0.000618586
15,120.28,0.78686,0.53176,0.81585,0.97918,0.96195,0.98476,0.78298,0.69682,0.46247,0.81782,0.000602092,0.000602092,0.000602092
16,128.262,0.75118,0.51453,0.81449,0.94918,0.92813,0.96659,0.70822,0.92352,0.55772,0.83205,0.000585599,0.000585599,0.000585599
17,136.222,0.82381,0.52413,0.81764,0.97978,0.96931,0.98675,0.7951,0.65611,0.46414,0.82016,0.000569106,0.000569106,0.000569106
18,144.144,0.8083,0.52004,0.81866,0.98238,0.97,0.9882,0.79345,0.65976,0.4483,0.81819,0.000552612,0.000552612,0.000552612
19,152.031,0.74761,0.4976,0.81184,0.97673,0.97812,0.98825,0.80843,0.62616,0.42302,0.81381,0.000536119,0.000536119,0.000536119
20,159.952,0.7789,0.51055,0.81342,0.97361,0.96541,0.98625,0.78804,0.68933,0.49308,0.83102,0.000519625,0.000519625,0.000519625
21,167.873,0.76382,0.50336,0.81623,0.97846,0.96203,0.98711,0.80139,0.6446,0.45667,0.81541,0.000503132,0.000503132,0.000503132
22,175.83,0.73091,0.48678,0.81379,0.96985,0.96126,0.98583,0.81391,0.61383,0.4472,0.816,0.000486639,0.000486639,0.000486639
23,183.782,0.72809,0.47905,0.80986,0.97535,0.97224,0.98886,0.81977,0.58853,0.41779,0.81136,0.000470145,0.000470145,0.000470145
24,191.724,0.72607,0.47146,0.80809,0.98922,0.97246,0.99025,0.79793,0.69961,0.43091,0.81428,0.000453652,0.000453652,0.000453652
25,199.653,0.67511,0.45431,0.80515,0.97705,0.97613,0.98934,0.79892,0.67152,0.41786,0.80931,0.000437158,0.000437158,0.000437158
26,207.56,0.69062,0.45619,0.80714,0.97396,0.96988,0.98671,0.79934,0.65597,0.42479,0.8113,0.000420665,0.000420665,0.000420665
27,215.422,0.67668,0.44743,0.80565,0.98627,0.9803,0.99262,0.83204,0.56598,0.39674,0.80848,0.000404172,0.000404172,0.000404172
28,223.602,0.6766,0.44474,0.80441,0.98619,0.98305,0.99251,0.8215,0.61204,0.39569,0.80717,0.000387678,0.000387678,0.000387678
29,231.836,0.67248,0.4423,0.80343,0.98472,0.98044,0.99198,0.79885,0.68303,0.41997,0.80885,0.000371185,0.000371185,0.000371185
30,240.073,0.70205,0.44856,0.80465,0.98646,0.98212,0.9923,0.82894,0.57482,0.37703,0.80887,0.000354691,0.000354691,0.000354691
31,248.25,0.66185,0.43345,0.80126,0.98324,0.97657,0.9897,0.8192,0.60359,0.3857,0.80721,0.000338198,0.000338198,0.000338198
32,256.445,0.66112,0.43307,0.80365,0.98521,0.98023,0.99143,0.80717,0.64778,0.39704,0.80619,0.000321705,0.000321705,0.000321705
33,264.643,0.65879,0.43328,0.80182,0.98132,0.9796,0.99092,0.83256,0.55754,0.37875,0.80653,0.000305211,0.000305211,0.000305211
34,272.68,0.64721,0.42043,0.8032,0.97783,0.97561,0.98916,0.81409,0.61279,0.39,0.8074,0.000288718,0.000288718,0.000288718
35,280.413,0.65217,0.41933,0.79734,0.98384,0.98174,0.99194,0.84262,0.53596,0.36256,0.80325,0.000272224,0.000272224,0.000272224
36,288.023,0.6474,0.41634,0.80031,0.9903,0.98268,0.9932,0.83293,0.57979,0.36964,0.80528,0.000255731,0.000255731,0.000255731
37,295.895,0.63921,0.41239,0.79803,0.97948,0.97668,0.98857,0.83157,0.56409,0.37636,0.80472,0.000239238,0.000239238,0.000239238
