epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4260.49,0.7492,0.96495,0.81508,0.99494,0.98922,0.99468,0.88857,0.4292,0.57518,0.81374,0.0033331,0.0033331,0.0033331
2,8426.31,0.67722,0.70905,0.80104,0.99781,0.99264,0.9949,0.90794,0.37895,0.51332,0.80878,0.00653443,0.00653443,0.00653443
3,12519.5,0.62613,0.66942,0.79586,0.99813,0.99196,0.99491,0.91769,0.35003,0.48064,0.80342,0.00960377,0.00960377,0.00960377
4,16607.2,0.55222,0.60862,0.78844,0.9984,0.99092,0.99495,0.92805,0.31777,0.42231,0.79694,0.009406,0.009406,0.009406
5,20694.7,0.48961,0.54654,0.78209,0.99829,0.99029,0.99478,0.93406,0.29873,0.38706,0.79352,0.009208,0.009208,0.009208
6,24787.2,0.45545,0.51184,0.77837,0.99882,0.99079,0.99475,0.93825,0.2859,0.36217,0.79122,0.00901,0.00901,0.00901
7,28889.4,0.42929,0.48422,0.77598,0.99902,0.99046,0.99463,0.94075,0.27708,0.34577,0.78986,0.008812,0.008812,0.008812
8,32978.6,0.41256,0.46558,0.77459,0.99935,0.99094,0.99464,0.9436,0.26967,0.33216,0.7889,0.008614,0.008614,0.008614
9,37074.3,0.39917,0.44955,0.77344,0.99951,0.99072,0.99461,0.94524,0.26481,0.32153,0.78821,0.008416,0.008416,0.008416
10,41167.8,0.38768,0.4376,0.77211,0.9996,0.99077,0.99451,0.94652,0.26015,0.31318,0.78746,0.008218,0.008218,0.008218
11,45260.9,0.37793,0.42538,0.7717,0.99957,0.99064,0.99444,0.9473,0.25726,0.30682,0.78696,0.00802,0.00802,0.00802
12,49353.9,0.36972,0.41652,0.77032,0.99964,0.99059,0.99439,0.94784,0.25475,0.30195,0.78657,0.007822,0.007822,0.007822
13,53446.6,0.36138,0.4084,0.77008,0.99964,0.99054,0.99436,0.94853,0.25266,0.29792,0.78623,0.007624,0.007624,0.007624
14,57538.3,0.35574,0.40147,0.76958,0.99967,0.99057,0.99435,0.94908,0.25083,0.2944,0.78596,0.007426,0.007426,0.007426
15,61631,0.3494,0.39408,0.76928,0.99971,0.99056,0.99433,0.94954,0.24915,0.2912,0.78576,0.007228,0.007228,0.007228
16,65719.1,0.34404,0.38762,0.76871,0.99973,0.99054,0.99431,0.9501,0.24691,0.28814,0.7856,0.00703,0.00703,0.00703
17,69811.1,0.33887,0.38253,0.76826,0.99975,0.99053,0.99427,0.95051,0.24555,0.28587,0.78545,0.006832,0.006832,0.006832
18,73905.7,0.33374,0.37609,0.76802,0.99976,0.99051,0.99424,0.95079,0.24467,0.28392,0.7853,0.006634,0.006634,0.006634
19,78007.1,0.33019,0.37128,0.76764,0.99978,0.99052,0.99422,0.95116,0.24312,0.28138,0.78513,0.006436,0.006436,0.006436
20,82109,0.32549,0.36705,0.7672,0.9998,0.99051,0.99421,0.95157,0.24155,0.27902,0.78499,0.006238,0.006238,0.006238
21,86205.2,0.3217,0.3628,0.76754,0.99981,0.99047,0.99418,0.95203,0.24024,0.27682,0.78487,0.00604,0.00604,0.00604
22,90305.9,0.31683,0.35758,0.76692,0.99982,0.99041,0.99415,0.95224,0.23952,0.27511,0.78471,0.005842,0.005842,0.005842
23,94402.8,0.31231,0.35213,0.76628,0.99982,0.99034,0.99413,0.9525,0.23865,0.27344,0.78455,0.005644,0.005644,0.005644
24,98505.4,0.30783,0.34634,0.7661,0.99983,0.99029,0.9941,0.95306,0.23678,0.27096,0.78443,0.005446,0.005446,0.005446
25,102605,0.30544,0.3428,0.76605,0.99983,0.9903,0.99408,0.95345,0.23585,0.2688,0.78426,0.005248,0.005248,0.005248
26,106697,0.30149,0.33875,0.76584,0.99984,0.99024,0.99406,0.95377,0.23426,0.2662,0.78408,0.00505,0.00505,0.00505
27,110789,0.29831,0.33376,0.76542,0.99985,0.9902,0.99404,0.95426,0.2326,0.26385,0.78389,0.004852,0.004852,0.004852
28,114883,0.29503,0.33029,0.76567,0.99986,0.99018,0.99401,0.95444,0.23164,0.2618,0.78372,0.004654,0.004654,0.004654
29,118985,0.2917,0.32626,0.76508,0.99986,0.99014,0.99397,0.95489,0.22979,0.25936,0.78354,0.004456,0.004456,0.004456
30,123084,0.2885,0.32194,0.76519,0.99987,0.99011,0.99394,0.95523,0.2284,0.25716,0.78337,0.004258,0.004258,0.004258
31,127177,0.28375,0.31714,0.76449,0.99987,0.99004,0.9939,0.95554,0.22735,0.25517,0.78322,0.00406,0.00406,0.00406
32,131259,0.28028,0.31193,0.76441,0.99989,0.99,0.99387,0.95586,0.22596,0.25294,0.78305,0.003862,0.003862,0.003862
33,135346,0.27664,0.30741,0.7644,0.9999,0.98999,0.99384,0.95627,0.2246,0.25078,0.78289,0.003664,0.003664,0.003664
34,139440,0.27415,0.3044,0.76386,0.9999,0.98993,0.99381,0.95669,0.22273,0.24827,0.78269,0.003466,0.003466,0.003466
35,143527,0.2704,0.30028,0.76371,0.99989,0.98986,0.99376,0.95703,0.22092,0.24566,0.78253,0.003268,0.003268,0.003268
36,147615,0.26698,0.29481,0.76341,0.99989,0.98981,0.99373,0.95733,0.21987,0.24409,0.78234,0.00307,0.00307,0.00307
37,151702,0.26491,0.29265,0.76324,0.99989,0.98976,0.9937,0.9574,0.21976,0.24346,0.78214,0.002872,0.002872,0.002872
38,155789,0.26152,0.28645,0.76325,0.99989,0.98971,0.99368,0.95768,0.21829,0.24154,0.78193,0.002674,0.002674,0.002674
39,159875,0.25829,0.28267,0.76302,0.99989,0.98968,0.99364,0.9579,0.21691,0.23944,0.78176,0.002476,0.002476,0.002476
