image_id,text,x_min,y_min,x_max,y_max,label
synth_00001.png,2025.06.28,51.0,476.5,217.0,501.5,DATE
synth_00001.png,13:45,310.0,476.5,393.0,501.5,TIME
synth_00001.png,패티앤베지스랩,51.0,564.0,289.0,596.0,MERCHANT
synth_00001.png,"-13,100원",879.0,563.0,1029.0,596.0,AMOUNT_OUT
synth_00001.png,"846,822원",874.0,624.0,1029.0,657.0,BALANCE
synth_00001.png,2025.06.26,51.0,784.5,217.0,809.5,DATE
synth_00001.png,11:45,310.0,784.5,393.0,809.5,TIME
synth_00001.png,메이의작업실,51.0,872.0,255.0,904.0,MERCHANT
synth_00001.png,"-10,800원",879.0,871.0,1029.0,904.0,AMOUNT_OUT
synth_00001.png,"잔액 836,022원",794.0,932.0,1029.0,965.0,BALANCE
synth_00001.png,2025.06.25,51.0,1091.5,217.0,1116.5,DATE
synth_00001.png,10:45,310.0,1091.5,393.0,1116.5,TIME
synth_00001.png,시공나라,51.0,1179.0,187.0,1211.0,MERCHANT
synth_00001.png,"-18,900원",879.0,1178.0,1029.0,1211.0,AMOUNT_OUT
synth_00001.png,"817,122원",874.0,1239.0,1029.0,1272.0,BALANCE
synth_00001.png,2025.06.23,51.0,1465.5,217.0,1490.5,DATE
synth_00001.png,05:45,310.0,1465.5,393.0,1490.5,TIME
synth_00001.png,오늘도nail,51.0,1555.0,207.0,1585.0,MERCHANT
synth_00001.png,"-6,400원",898.0,1552.0,1029.0,1585.0,AMOUNT_OUT
synth_00001.png,"잔액 810,722원",794.0,1613.0,1029.0,1646.0,BALANCE
synth_00001.png,2025.06.23,51.0,1772.5,217.0,1797.5,DATE
synth_00001.png,00:45,310.0,1772.5,393.0,1797.5,TIME
synth_00001.png,베이비스튜디오,51.0,1860.0,289.0,1892.0,MERCHANT
synth_00001.png,"-1,600원",898.0,1859.0,1029.0,1892.0,AMOUNT_OUT
synth_00001.png,"잔액 809,122원",794.0,1920.0,1029.0,1953.0,BALANCE
synth_00001.png,2025.06.21,51.0,2145.5,217.0,2170.5,DATE
synth_00001.png,21:45,307.0,2145.5,390.0,2170.5,TIME
synth_00001.png,현공방,51.0,2233.5,153.0,2264.5,MERCHANT
synth_00001.png,"-8,000원",898.0,2232.0,1029.0,2265.0,AMOUNT_OUT
synth_00001.png,"801,122원",874.0,2289.5,1029.0,2322.5,BALANCE
synth_00001.png,2025.06.28 ~ 2025.06.21 (6건),51.0,358.0,516.0,392.0,DATE_HEADER
synth_00002.png,6월 23일,50.0,568.5,206.0,605.5,DATE
synth_00002.png,12:45,73.0,681.5,182.0,717.5,TIME
synth_00002.png,전라남도마음건강치유센터,50.0,748.0,482.0,785.0,MERCHANT
synth_00002.png,"입금 162,000원",839.0,677.0,1032.0,757.0,AMOUNT_IN
synth_00002.png,#이체,219.0,683.0,307.0,714.0,MEMO
synth_00002.png,6월 21일,50.0,932.5,206.0,969.5,DATE
synth_00002.png,11:45,67.0,1047.0,176.0,1082.0,TIME
synth_00002.png,베스트셀프세차 손세차,50.0,1112.0,422.0,1149.0,MERCHANT
synth_00002.png,"출금 7,400원",887.0,1043.0,1032.0,1123.0,AMOUNT_OUT
synth_00002.png,#체크카드,208.0,1048.5,356.0,1078.5,MEMO
synth_00002.png,6월 19일,50.0,1297.5,206.0,1334.5,DATE
synth_00002.png,07:45,67.0,1410.5,176.0,1446.5,TIME
synth_00002.png,합성무선,50.0,1477.0,194.0,1514.0,MERCHANT
synth_00002.png,"출금 10,300원",863.0,1406.0,1032.0,1486.0,AMOUNT_OUT
synth_00002.png,#송금,208.0,1412.0,296.0,1443.0,MEMO
synth_00002.png,02:45,67.0,1619.5,176.0,1655.5,TIME
synth_00002.png,옥수정식당,50.0,1686.0,230.0,1723.0,MERCHANT
synth_00002.png,"출금 7,600원",887.0,1615.0,1032.0,1695.0,AMOUNT_OUT
synth_00002.png,00:45,67.0,1828.5,176.0,1864.5,TIME
synth_00002.png,자유,50.0,1895.0,122.0,1932.0,MERCHANT
synth_00002.png,"출금 8,100원",887.0,1824.0,1032.0,1904.0,AMOUNT_OUT
synth_00002.png,21:45,67.0,2031.5,176.0,2067.5,TIME
synth_00002.png,따뜻한엄마고양이협회,50.0,2096.5,410.0,2134.5,MERCHANT
synth_00002.png,"출금 1,000원",887.0,2027.0,1032.0,2107.0,AMOUNT_OUT
synth_00002.png,2025년 06월,51.0,385.0,279.0,422.0,DATE_HEADER
synth_00003.png,7월 9일,51.0,462.0,181.0,496.0,DATE
synth_00003.png,15:45,291.0,465.0,393.0,497.0,TIME
synth_00003.png,목척추교정원,51.0,556.5,273.0,591.5,MERCHANT
synth_00003.png,"-5,100원",867.0,555.5,1029.0,591.5,AMOUNT_OUT
synth_00003.png,"잔액 1,014,747원",728.0,616.5,1029.0,652.5,BALANCE
synth_00003.png,7월 7일,51.0,770.0,180.0,804.0,DATE
synth_00003.png,11:45,295.015625,773.0,393.015625,805.0,TIME
synth_00003.png,성우떡방아간,51.0,866.0,274.0,900.0,MERCHANT
synth_00003.png,"-9,100원",866.0,863.5,1029.0,899.5,AMOUNT_OUT
synth_00003.png,"잔액 1,005,647원",724.0,924.5,1029.0,960.5,BALANCE
synth_00003.png,7월 7일,51.0,1077.0,180.0,1111.0,DATE
synth_00003.png,08:45,284.0,1078.5,393.0,1111.5,TIME
synth_00003.png,수야집,51.0,1173.0,162.0,1207.0,MERCHANT
synth_00003.png,"-18,800원",841.0,1170.5,1029.0,1206.5,AMOUNT_OUT
synth_00003.png,"잔액 986,847원",753.0,1231.5,1029.0,1267.5,BALANCE
synth_00003.png,7월 7일,51.0,1451.0,180.0,1485.0,DATE
synth_00003.png,04:45,284.0,1452.5,393.0,1485.5,TIME
synth_00003.png,로인활동실,51.0,1547.5,236.0,1580.5,MERCHANT
synth_00003.png,"-19,200원",842.0,1544.5,1029.0,1580.5,AMOUNT_OUT
synth_00003.png,"잔액 967,647원",756.0,1605.5,1029.0,1641.5,BALANCE
