image_id,text,x_min,y_min,x_max,y_max,label
final_gen_1.png,07.04,56.0,258.0,130.0,288.0,DATE
final_gen_1.png,11:46,338.0,260.0,408.0,286.0,TIME
final_gen_1.png,명재나물,56.0,341.0,180.0,377.0,MERCHANT
final_gen_1.png,"출금 13,000원",832.0,430.0,1024.0,467.0,AMOUNT_OUT
final_gen_1.png,"1,821,693원",864.0,498.0,1023.0,535.0,BALANCE
final_gen_1.png,07.04,56.0,668.0,130.0,698.0,DATE
final_gen_1.png,08:46,333.0,670.0,408.0,696.0,TIME
final_gen_1.png,서의원서한의원,56.0,751.0,273.0,787.0,MERCHANT
final_gen_1.png,"입금 329,100원",816.0,838.0,1024.0,875.0,AMOUNT_IN
final_gen_1.png,"2,150,793원",862.0,908.0,1023.0,945.0,BALANCE
final_gen_1.png,07.04,56.0,1078.0,130.0,1108.0,DATE
final_gen_1.png,03:46,333.0,1080.0,408.0,1106.0,TIME
final_gen_1.png,돈장군vs소일병,56.0,1157.0,271.0,1193.0,MERCHANT
final_gen_1.png,"출금 5,300원",845.0,1248.0,1024.0,1285.0,AMOUNT_OUT
final_gen_1.png,"2,156,093원",862.0,1316.0,1023.0,1353.0,BALANCE
final_gen_1.png,07.03,56.0,1485.5,131.0,1514.5,DATE
final_gen_1.png,22:46,334.0,1486.0,408.0,1512.0,TIME
final_gen_1.png,EMART24황물로점영서철물상사,56.0,1567.0,489.0,1603.0,MERCHANT
final_gen_1.png,"출금 11,400원",835.0,1656.0,1024.0,1693.0,AMOUNT_OUT
final_gen_1.png,"2,167,493원",863.0,1726.0,1023.0,1763.0,BALANCE
final_gen_1.png,07.02,56.0,1895.5,130.0,1924.5,DATE
final_gen_1.png,21:46,336.0,1896.0,408.0,1922.0,TIME
final_gen_1.png,유한엔지니어링,56.0,1977.0,273.0,2013.0,MERCHANT
final_gen_1.png,"출금 17,800원",832.0,2066.0,1024.0,2103.0,AMOUNT_OUT
final_gen_1.png,"2,185,293원",861.0,2134.0,1023.0,2171.0,BALANCE
final_gen_2.png,2025.06.29,51.0,448.5,245.0,477.5,DATE
final_gen_2.png,10:46,264.0,448.5,361.0,477.5,TIME
final_gen_2.png,호우재한옥,51.0,531.5,251.0,569.5,MERCHANT
final_gen_2.png,"-19,600원",854.0,533.0,1029.0,572.0,AMOUNT_OUT
final_gen_2.png,"1,802,523원",817.0,594.0,1029.0,633.0,BALANCE
final_gen_2.png,2025.06.28,51.0,821.5,245.0,850.5,DATE
final_gen_2.png,06:46,255.0,821.5,352.0,850.5,TIME
final_gen_2.png,술주당,51.0,904.5,171.0,942.5,MERCHANT
final_gen_2.png,"-17,000원",854.0,906.0,1029.0,945.0,AMOUNT_OUT
final_gen_2.png,"1,785,523원",817.0,967.0,1029.0,1006.0,BALANCE
final_gen_2.png,2025.06.28,51.0,1129.5,245.0,1158.5,DATE
final_gen_2.png,01:46,255.0,1129.5,352.0,1158.5,TIME
final_gen_2.png,에슬로우목동,51.0,1212.5,291.0,1250.5,MERCHANT
final_gen_2.png,"-15,300원",854.0,1214.0,1029.0,1253.0,AMOUNT_OUT
final_gen_2.png,"1,770,223원",817.0,1275.0,1029.0,1314.0,BALANCE
final_gen_2.png,2025.06.26,51.0,1648.5,245.0,1677.5,DATE
final_gen_2.png,00:46,270.0,1648.5,367.0,1677.5,TIME
final_gen_2.png,정재환왕갈비,51.0,1731.5,291.0,1769.5,MERCHANT
final_gen_2.png,"329,800원",848.0,1733.0,1029.0,1772.0,AMOUNT_IN
final_gen_2.png,"2,100,023원",817.0,1794.0,1029.0,1833.0,BALANCE
final_gen_2.png,2025.06.23,51.0,1956.5,245.0,1985.5,DATE
final_gen_2.png,19:46,270.0,1956.5,367.0,1985.5,TIME
final_gen_2.png,히피들의정원,51.0,2039.5,291.0,2077.5,MERCHANT
final_gen_2.png,"-3,300원",876.0,2041.0,1029.0,2080.0,AMOUNT_OUT
final_gen_2.png,"2,096,723원",817.0,2102.0,1029.0,2141.0,BALANCE
final_gen_2.png,2025년 06월,51.0,359.0,277.0,395.0,DATE_HEADER
final_gen_3.png,2025.07.08,55.0,753.0,281.0,791.0,DATE
final_gen_3.png,11:46,92.0,467.5,205.0,504.5,TIME
