Category,Precision,Recall,F1-Score,Support
PC방,0.8515,0.9122,0.8808,1037
가구,0.6848,0.5849,0.6309,1508
가발,0.2500,0.0690,0.1081,145
가방,0.6146,0.4028,0.4867,566
가스 충전소,0.7959,0.7156,0.7536,327
가전제품,0.4066,0.2545,0.3131,1163
가전제품 수리,0.5083,0.5511,0.5289,1662
가정용 연료,0.7877,0.8116,0.7995,759
가죽/가방/신발 수선,0.5342,0.2910,0.3768,134
가축 사료,0.2785,0.0859,0.1313,256
간이 음식점(기타),0.4801,0.1258,0.1993,1153
개인/가정용품 수리(기타),0.5282,0.4274,0.4725,1247
건강보조식품,0.5223,0.6027,0.5596,2351
건물 및 토목 엔지니어링 서비스,0.3701,0.6716,0.4772,1160
건설/건축자재,0.6168,0.5228,0.5659,197
건설기계/장비 대여업,0.4921,0.6382,0.5557,539
건어물/젓갈,0.6540,0.5224,0.5809,691
건축 설계 및 관련 서비스,0.9112,0.7784,0.8396,3086
건축물 일반 청소,0.4971,0.6410,0.5599,2554
결혼 상담 서비스,0.7131,0.5652,0.6306,299
경양식,0.4403,0.3106,0.3642,2695
경영 컨설팅,0.3231,0.5297,0.4014,8250
고용 알선업,0.6176,0.7171,0.6636,1633
곡물/곡분,0.6176,0.3170,0.4190,265
골프 연습장,0.7898,0.8225,0.8058,1713
곱창 전골/구이,0.8950,0.9762,0.9338,882
공인노무사,0.6564,0.8057,0.7234,211
공인회계사,0.8154,0.3719,0.5108,285
광고 대행,0.3031,0.3653,0.3313,4479
광고 매체 판매,0.0000,0.0000,0.0000,74
광고물 설계/제작업,0.0000,0.0000,0.0000,1066
교육기관(기타),0.2483,0.1378,0.1773,1306
교육컨설팅,0.3221,0.2439,0.2776,824
구내식당,0.8273,0.6849,0.7494,1133
국/탕/찌개류,0.9692,0.9771,0.9731,3928
국수/칼국수,0.8801,0.8218,0.8499,2626
기념품점,0.2602,0.1394,0.1815,868
기숙사/고시원,0.7065,0.7084,0.7075,734
기타 개인/가정용품 대여업,0.4574,0.2263,0.3028,570
기타 건설/건축자재,0.3238,0.2429,0.2776,280
기타 광고 관련 서비스,0.7273,0.1147,0.1981,279
기타 교육지원 서비스,0.3569,0.2268,0.2773,1226
기타 기술/직업 훈련학원,0.4250,0.4549,0.4395,2629
기타 동남아식 전문,0.6825,0.6418,0.6615,67
기타 법무관련 서비스,0.0000,0.0000,0.0000,32
기타 사무 지원 서비스,0.3333,0.0164,0.0312,244
기타 산업용 기계/장비 대여업,0.3770,0.0790,0.1307,582
기타 서양식 음식점,0.7514,0.9510,0.8395,143
기타 스포츠시설 운영업,0.3930,0.3217,0.3538,314
기타 엔지니어링 서비스,0.2201,0.2685,0.2419,1672
기타 여행 보조/예약 서비스,0.5238,0.0843,0.1452,261
기타 예술/스포츠 교육기관,0.5670,0.4085,0.4749,891
기타 오락관련 서비스,0.3053,0.1980,0.2402,808
기타 오락장,0.4250,0.4603,0.4419,769
기타 운송장비 대여업,0.5486,0.3147,0.4000,251
기타 의류,0.4376,0.4139,0.4254,6243
기타 의원,0.6818,0.5696,0.6207,395
기타 일식 음식점,0.7361,0.8548,0.7910,62
기타 한식 음식점,0.8398,0.9673,0.8990,336
기타 회계 관련 서비스,0.0000,0.0000,0.0000,11
김밥/만두/분식,0.8176,0.7480,0.7812,5266
꽃집,0.6599,0.7204,0.6889,2758
낚시터 운영업,0.8316,0.7745,0.8020,102
남성 의류,0.6361,0.3634,0.4625,1087
내과/소아과 의원,0.7552,0.8386,0.7947,1214
냉면/밀면,0.9710,0.9730,0.9720,481
네일숍,0.8812,0.7522,0.8116,2978
노래방,0.9341,0.8701,0.9009,1824
닭/오리고기 구이/찜,0.7788,0.9445,0.8537,1118
담배/전자담배,0.7867,0.6120,0.6884,482
당구장,0.9383,0.8869,0.9119,1167
도시 계획 및 조경 설계 서비스,0.4375,0.2710,0.3347,310
독서실/스터디 카페,0.9174,0.8399,0.8769,1574
동물병원,0.9650,0.9694,0.9672,654
돼지고기 구이/찜,0.7558,0.6968,0.7251,7911
떡/한과,0.8869,0.9869,0.9342,1144
레크리에이션 교육기관,0.5889,0.3235,0.4176,850
마라탕/훠궈,0.9471,0.9908,0.9685,434
마사지/안마,0.4168,0.3702,0.3921,778
만화방,0.4268,0.3846,0.4046,91
명함/간판/광고물 제작,0.4783,0.6535,0.5523,2531
모터사이클 및 부품,0.3143,0.1467,0.2000,300
모터사이클 수리,0.5431,0.5669,0.5548,411
목욕탕/사우나,0.7724,0.7714,0.7719,761
무도 유흥 주점,0.7692,0.1550,0.2581,129
문구/회화용품,0.7641,0.6017,0.6733,1303
미술학원,0.7578,0.8872,0.8174,1587
미용실,0.8766,0.8599,0.8682,12686
바둑/장기/체스 경기 운영업,0.5775,0.5942,0.5857,69
반찬/식료품,0.6068,0.3752,0.4637,1991
방사선 진단/병리 검사 의원,0.5536,0.5439,0.5487,57
백반/한정식,0.5880,0.6520,0.6183,20417
버거,0.9750,0.9822,0.9786,676
번역/통역 서비스,0.7262,0.2664,0.3898,458
법무사,0.9912,0.9688,0.9799,1284
베트남식 전문,0.4587,0.5138,0.4847,800
벽지/장판/마루,0.7704,0.6540,0.7074,708
변리사,0.9194,0.8899,0.9044,218
변호사,0.9732,0.9818,0.9775,1591
복 요리 전문,0.9307,0.9792,0.9543,96
복권 발행/판매,0.8620,0.7584,0.8069,799
복사업,0.6502,0.6021,0.6252,284
볼링장,0.8795,0.8202,0.8488,178
부동산 중개/대리,0.7988,0.8758,0.8355,11039
분류 안된 외국식 음식점,0.0000,0.0000,0.0000,6
뷔페,0.9784,0.9891,0.9837,459
비디오방,0.4091,0.5294,0.4615,17
빵/도넛,0.7107,0.6967,0.7037,4606
사무기기,0.2979,0.0545,0.0921,257
사업/무형 재산권 중개,0.3836,0.1404,0.2055,399
사업시설 유지·관리 서비스,0.3537,0.1178,0.1767,985
사진기/기타 광학기기,0.3333,0.1047,0.1593,86
사진촬영업,0.6184,0.7098,0.6610,3108
사회교육시설,0.3083,0.2645,0.2847,155
산부인과 의원,0.9134,0.9420,0.9275,224
산업설비; 운송장비 및 공공장소 청소,0.4607,0.1598,0.2373,513
상용 인력 공급 및 인사관리 서비스,0.1111,0.0210,0.0354,333
상품 전문 (기타),0.5539,0.3162,0.4026,1983
생맥주 전문,0.6450,0.6336,0.6392,1692
생수/음료,0.5049,0.2857,0.3649,182
