category,precision,recall,f1-score,support
"PC방",0.8704,0.8018,0.8347,444
"가구",0.6397,0.3723,0.4707,658
"가발",0.0000,0.0000,0.0000,84
"가방",0.6250,0.0901,0.1575,333
"가스 충전소",0.6627,0.5612,0.6077,98
"가전제품",0.0825,0.0167,0.0277,480
"가전제품 수리",0.3495,0.4955,0.4098,773
"가정용 연료",0.7111,0.5614,0.6275,171
"가죽/가방/신발 수선",1.0000,0.0122,0.0241,82
"가축 사료",0.0000,0.0000,0.0000,73
"간이 음식점(기타)",0.5306,0.0545,0.0989,477
"개인/가정용품 수리(기타)",0.5340,0.2864,0.3728,604
"건강보조식품",0.3644,0.4226,0.3914,1008
"건물 및 토목 엔지니어링 서비스",0.3190,0.4937,0.3876,632
"건설/건축자재",0.3030,0.2778,0.2899,72
"건설기계/장비 대여업",0.3806,0.4513,0.4130,226
"건어물/젓갈",0.7887,0.3060,0.4409,183
"건축 설계 및 관련 서비스",0.9125,0.7380,0.8160,1893
"건축물 일반 청소",0.4457,0.5864,0.5065,1337
"결혼 상담 서비스",0.7000,0.2536,0.3723,138
"경양식",0.4870,0.1615,0.2425,1505
"경영 컨설팅",0.2372,0.6157,0.3425,6378
"고용 알선업",0.7091,0.5740,0.6345,824
"곡물/곡분",0.3294,0.2692,0.2963,104
"골프 연습장",0.7588,0.7179,0.7378,780
"곱창 전골/구이",0.8985,0.9284,0.9132,391
"공인노무사",0.6633,0.4710,0.5508,138
"공인회계사",0.8955,0.3279,0.4800,183
"광고 대행",0.2400,0.3753,0.2928,3512
"광고 매체 판매",0.0000,0.0000,0.0000,56
"광고물 설계/제작업",0.0000,0.0000,0.0000,695
"교육기관(기타)",0.1667,0.0436,0.0691,711
"교육컨설팅",0.1662,0.1190,0.1387,538
"구내식당",0.7264,0.5288,0.6120,452
"국/탕/찌개류",0.9279,0.9126,0.9202,1636
"국수/칼국수",0.9431,0.7159,0.8139,996
"기념품점",0.1579,0.0099,0.0187,302
"기숙사/고시원",0.8186,0.5462,0.6552,595
"기타 개인/가정용품 대여업",0.3115,0.0660,0.1089,288
"기타 건설/건축자재",0.0000,0.0000,0.0000,112
"기타 광고 관련 서비스",0.0000,0.0000,0.0000,177
"기타 교육지원 서비스",0.3965,0.1176,0.1815,765
"기타 기술/직업 훈련학원",0.3810,0.2732,0.3182,1248
"기타 동남아식 전문",0.2258,0.1667,0.1918,42
"기타 법무관련 서비스",0.0000,0.0000,0.0000,20
"기타 사무 지원 서비스",0.0000,0.0000,0.0000,138
"기타 산업용 기계/장비 대여업",0.1317,0.0688,0.0903,320
"기타 서양식 음식점",0.4885,0.7356,0.5872,87
"기타 스포츠시설 운영업",0.5263,0.0709,0.1250,141
"기타 엔지니어링 서비스",0.1853,0.1020,0.1316,892
"기타 여행 보조/예약 서비스",0.0000,0.0000,0.0000,149
"기타 예술/스포츠 교육기관",0.5085,0.2986,0.3763,499
"기타 오락관련 서비스",0.0476,0.0040,0.0074,248
"기타 오락장",0.4598,0.3657,0.4074,391
"기타 운송장비 대여업",0.0000,0.0000,0.0000,84
"기타 의류",0.2986,0.3656,0.3287,3091
"기타 의원",0.6700,0.5231,0.5875,260
"기타 일식 음식점",0.6667,0.2500,0.3636,32
"기타 한식 음식점",0.8163,0.6557,0.7273,122
"기타 회계 관련 서비스",0.0000,0.0000,0.0000,8
"김밥/만두/분식",0.8949,0.6361,0.7436,2410
"꽃집",0.5573,0.6566,0.6029,1488
"낚시터 운영업",0.8333,0.6522,0.7317,46
"남성 의류",0.6325,0.1280,0.2129,578
"내과/소아과 의원",0.7099,0.7638,0.7358,817
"냉면/밀면",0.8469,0.9071,0.8760,183
"네일숍",0.8915,0.7107,0.7909,1538
"노래방",0.9842,0.8638,0.9201,940
"닭/오리고기 구이/찜",0.6964,0.8032,0.7460,437
"담배/전자담배",0.7318,0.5746,0.6437,228
"당구장",0.9117,0.8319,0.8700,583
"도시 계획 및 조경 설계 서비스",0.7059,0.0678,0.1237,177
"독서실/스터디 카페",0.9540,0.7326,0.8288,849
"동물병원",0.9545,0.9211,0.9375,342
"돼지고기 구이/찜",0.7676,0.5367,0.6317,3089
"떡/한과",0.8127,0.8813,0.8456,379
"레크리에이션 교육기관",0.5248,0.1783,0.2662,415
"마라탕/훠궈",0.8266,0.8723,0.8489,235
"마사지/안마",0.4375,0.1026,0.1663,341
"만화방",0.3333,0.0638,0.1071,47
"명함/간판/광고물 제작",0.5080,0.3822,0.4362,1248
"모터사이클 및 부품",0.2000,0.0072,0.0139,139
"모터사이클 수리",0.7083,0.4121,0.5211,165
"목욕탕/사우나",0.7500,0.6330,0.6866,218
"무도 유흥 주점",0.0000,0.0000,0.0000,48
"문구/회화용품",0.7399,0.4554,0.5638,606
"미술학원",0.9159,0.8033,0.8559,1017
"미용실",0.7536,0.8139,0.7826,5853
"바둑/장기/체스 경기 운영업",0.3947,0.3659,0.3797,41
"반찬/식료품",0.6498,0.2000,0.3059,835
"방사선 진단/병리 검사 의원",0.0000,0.0000,0.0000,35
"백반/한정식",0.3535,0.6703,0.4629,7923
"버거",0.9362,0.8800,0.9072,300
"번역/통역 서비스",0.8706,0.2256,0.3584,328
"법무사",0.9626,0.8986,0.9295,631
"베트남식 전문",0.3913,0.1535,0.2205,469
"벽지/장판/마루",0.8947,0.4491,0.5980,265
"변리사",0.9333,0.8701,0.9006,177
"변호사",0.9500,0.9734,0.9615,1053
"복 요리 전문",0.0000,0.0000,0.0000,27
"복권 발행/판매",0.9258,0.5730,0.7078,370
"복사업",0.5857,0.2867,0.3850,143
"볼링장",0.7500,0.7500,0.7500,64
"부동산 중개/대리",0.7630,0.8199,0.7905,6220
"분류 안된 외국식 음식점",0.0000,0.0000,0.0000,5
"뷔페",0.8962,0.9588,0.9264,243
"비디오방",0.0000,0.0000,0.0000,9
"빵/도넛",0.7036,0.5782,0.6348,2122
"사무기기",0.0000,0.0000,0.0000,123
"사업/무형 재산권 중개",0.8462,0.0724,0.1333,304
"사업시설 유지·관리 서비스",0.4000,0.0262,0.0491,535
"사진기/기타 광학기기",0.5000,0.0161,0.0312,62
"사진촬영업",0.5145,0.6156,0.5605,1816
"사회교육시설",0.0000,0.0000,0.0000,79
"산부인과 의원",0.8293,0.8831,0.8553,154
"산업설비; 운송장비 및 공공장소 청소",0.0000,0.0000,0.0000,223
"상용 인력 공급 및 인사관리 서비스",0.0000,0.0000,0.0000,173
"상품 전문 (기타)",0.2665,0.1487,0.1909,760
"생맥주 전문",0.6667,0.4547,0.5406,805
"생수/음료",0.0000,0.0000,0.0000,83
"서점",0.5898,0.3408,0.4320,578
"성형외과 의원",0.9156,0.7344,0.8150,192
"세무사",0.9280,0.9574,0.9425,1455
"세탁소",0.8585,0.7065,0.7751,988
"셀프 빨래방",0.9594,0.9187,0.9386,283
"소고기 구이/찜",0.6012,0.6273,0.6140,322
"소독; 구충 및 방제 서비스",0.6471,0.1636,0.2611,269
"수산물",0.6205,0.5281,0.5706,356
"수상/해양 레저업",0.2692,0.2188,0.2414,32
"수영장",1.0000,0.0278,0.0541,36
"숙박업(기타)",0.0000,0.0000,0.0000,30
"슈퍼마켓",0.4494,0.6513,0.5318,2931
"스쿼시/라켓볼장",0.0000,0.0000,0.0000,16
"스포츠/레크리에이션 용품 대여업",0.2400,0.0484,0.0805,124
"시각 디자인업",0.2260,0.1946,0.2091,1583
"시계/귀금속",0.4537,0.4426,0.4480,531
"시계/귀금속/악기 수리",0.0000,0.0000,0.0000,45
"시장 조사 및 여론 조사업",0.0000,0.0000,0.0000,179
"신경/정신과 의원",0.9096,0.8550,0.8814,200
"신발",0.7173,0.2561,0.3774,535
"실/섬유제품",0.3014,0.1152,0.1667,191
"아이스크림 할인점",0.0000,0.0000,0.0000,15
"아이스크림/빙수",0.8865,0.7716,0.8251,162
"악기",0.3902,0.3609,0.3750,133
"안경렌즈",0.9488,0.8052,0.8711,575
"안과 의원",0.5959,0.9055,0.7188,127
"애완동물/애완용품",0.6383,0.5233,0.5751,816
"액세서리/잡화",0.0000,0.0000,0.0000,380
"약국",0.9633,0.9657,0.9645,1224
"얼음",0.0000,0.0000,0.0000,9
"여관/모텔",0.7936,0.6261,0.6999,829
"여성 의류",0.2826,0.2357,0.2570,1684
"여행사",0.8570,0.6878,0.7631,1246
"예술품",0.3431,0.3216,0.3320,510
"예식장업",0.3125,0.0980,0.1493,51
"옥외/전시 광고 대행",0.0000,0.0000,0.0000,127
"외과 의원",0.8980,0.7108,0.7935,446
"외국어학원",0.7437,0.2543,0.3790,582
"요가/필라테스 학원",0.6609,0.6711,0.6659,1818
"요리 주점",0.4576,0.2902,0.3552,3053
"요양병원",0.7143,0.7368,0.7254,95
"우유",0.3333,0.1622,0.2182,37
"운동용품",0.4082,0.2558,0.3145,774
"운전학원",0.7556,0.6939,0.7234,49
"유사 의료업",0.4091,0.5625,0.4737,272
"유아용 의류",0.3333,0.0201,0.0379,249
"음반/비디오물",0.0000,0.0000,0.0000,33
"음반/비디오물 대여업",0.0000,0.0000,0.0000,9
"음악학원",0.8482,0.8412,0.8447,1574
"의료기기",0.5401,0.5444,0.5422,507
"의류 대여업",0.3846,0.2518,0.3043,139
"의류/이불 수선",0.8070,0.4259,0.5576,432
"이비인후과 의원",0.9185,0.9235,0.9210,183
"인테리어 디자인업",0.8510,0.6076,0.7090,1654
"일반 유흥 주점",0.6074,0.4418,0.5116,851
"일반병원",0.5267,0.6571,0.5847,105
"일식 면 요리",0.8581,0.8471,0.8526,157
"일식 카레/돈가스/덮밥",0.6238,0.4013,0.4884,157
"일식 회/초밥",0.5994,0.4389,0.5068,1449
"임시/일용 인력 공급업",0.0000,0.0000,0.0000,435
"입시·교과학원",0.7565,0.8606,0.8052,6512
"자동차 대여업",0.8733,0.5178,0.6501,253
"자동차 부품",0.5093,0.1617,0.2455,507
"자동차 세차장",0.7986,0.5296,0.6368,846
"자동차 정비소",0.6412,0.7817,0.7045,2103
"자전거",0.5763,0.5368,0.5559,190
"장난감",0.5748,0.2664,0.3641,274
"장례식장",0.6178,0.4641,0.5301,209
"전/부침개",0.5000,0.5932,0.5426,59
"전기용품/조명장치",0.6961,0.4793,0.5677,411
"전문자격/고시학원",0.0000,0.0000,0.0000,74
"전시/컨벤션/행사 대행 서비스",0.2376,0.0428,0.0726,1004
"전자 게임장",0.4632,0.4314,0.4467,102
"정육점",0.8103,0.6970,0.7494,1066
"제품 디자인업",0.0000,0.0000,0.0000,547
"조경 유지·관리 서비스",0.5345,0.3407,0.4161,91
"족발/보쌈",0.9093,0.9050,0.9071,421
"종합 (기타)",0.5714,0.0359,0.0676,334
"종합 스포츠시설",0.0000,0.0000,0.0000,51
"종합병원",0.1429,0.0278,0.0465,36
"주류",0.2941,0.1802,0.2235,111
"주방/가정용품",0.5586,0.3060,0.3954,1075
"주유소",0.8259,0.8403,0.8330,576
"중고 상품",0.3802,0.2679,0.3143,616
"중국집",0.6982,0.5273,0.6009,1426
"직원 훈련기관",0.2727,0.0114,0.0218,264
"채소/과일",0.5132,0.4995,0.5062,933
"철물/공구",0.5988,0.6280,0.6131,820
"청소년 수련시설",0.2083,0.1064,0.1408,47
"체형/비만 관리",0.3247,0.2571,0.2870,245
"치과병원",0.8000,0.1053,0.1860,38
"치과의원",0.9615,0.9622,0.9619,1298
"치킨",0.9077,0.7900,0.8448,1767
"침구류/커튼",0.5094,0.4276,0.4649,442
"카페",0.3935,0.7205,0.5090,7650
"캠핑/글램핑",0.7075,0.5814,0.6383,129
"컴퓨터 학원",0.6386,0.4380,0.5196,121
"컴퓨터/노트북/프린터 수리",0.4772,0.4130,0.4428,431
"컴퓨터/사무기기 대여업",0.2544,0.1559,0.1933,186
"컴퓨터/소프트웨어",0.1479,0.0933,0.1144,450
"타이어",0.6180,0.6395,0.6286,86
"탁구장",1.0000,0.9535,0.9762,129
"태권도/무술학원",0.8809,0.8496,0.8650,1097
"테니스장",0.7718,0.4812,0.5928,239
"토스트/샌드위치/샐러드",0.7967,0.7108,0.7513,204
"파스타/스테이크",0.8235,0.6316,0.7149,133
"패밀리레스토랑",0.6667,0.5217,0.5854,23
"패션/섬유/기타 전문 디자인업",0.0000,0.0000,0.0000,354
"펜션",0.4529,0.5478,0.4958,1088
"편의점",0.9734,0.9230,0.9475,4169
"포장/충전업",0.6111,0.0837,0.1472,263
"피부 관리실",0.5410,0.6783,0.6019,2344
"피부/비뇨기과 의원",0.5679,0.8014,0.6647,428
"피자",0.8492,0.4947,0.6252,1047
"한방병원",0.8750,0.7955,0.8333,44
"한복",0.1667,0.0167,0.0303,60
"한의원",0.9779,0.9182,0.9471,917
"해산물 구이/찜",0.8699,0.8380,0.8536,790
"핸드폰",0.7593,0.6154,0.6798,1261
"핸드폰/통신장비 수리",0.6863,0.2756,0.3933,127
"행정사",0.8431,0.7640,0.8016,394
"헬스장",0.5961,0.7318,0.6570,1208
"호텔/리조트",0.3333,0.0102,0.0198,98
"화장터/묘지/납골당",0.0870,0.0656,0.0748,61
"화장품",0.3910,0.2327,0.2918,1749
"환경 관련 엔지니어링 서비스",0.5714,0.0585,0.1062,205
"횟집",0.6279,0.3835,0.4762,717
"accuracy",,0.5703,,176243
"macro avg",0.5264,0.4059,0.4325,176243
"weighted avg",0.5952,0.5703,0.5585,176243
